"cell_name","wall_position","mix","H2228_prop","H1975_prop","HCC827_prop","mRNA_amount","group"
"CelSeq2_Mixture_Sample_M3","M3",7,0.16,0.68,0.16,3.75,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M4","M4",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M5","M5",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M6","M6",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M7","M7",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M8","M8",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M9","M9",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M10","M10",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M11","M11",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M12","M12",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M13","M13",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M14","M14",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M15","M15",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M16","M16",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M17","M17",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M18","M18",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M19","M19",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M20","M20",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M21","M21",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M22","M22",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M23","M23",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_M24","M24",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N1","N1",7,0.16,0.68,0.16,3.75,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N2","N2",7,0.16,0.68,0.16,3.75,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N3","N3",7,0.16,0.68,0.16,3.75,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N4","N4",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N5","N5",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N6","N6",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N7","N7",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N8","N8",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N9","N9",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N10","N10",7,0.16,0.68,0.16,7.5,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N11","N11",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N12","N12",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N13","N13",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N14","N14",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N15","N15",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N16","N16",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N17","N17",7,0.16,0.68,0.16,15,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N18","N18",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N19","N19",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N20","N20",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N21","N21",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N22","N22",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N23","N23",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_N24","N24",7,0.16,0.68,0.16,30,"0.16_0.68_0.16"
"CelSeq2_Mixture_Sample_O1","O1",8,0.16,0.16,0.68,3.75,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O2","O2",8,0.16,0.16,0.68,3.75,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O3","O3",8,0.16,0.16,0.68,3.75,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O4","O4",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O5","O5",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O6","O6",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O7","O7",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O8","O8",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O9","O9",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O10","O10",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O11","O11",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O12","O12",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O13","O13",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O14","O14",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O15","O15",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O16","O16",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O17","O17",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O18","O18",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O19","O19",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O20","O20",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O21","O21",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O22","O22",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O23","O23",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_O24","O24",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P1","P1",8,0.16,0.16,0.68,3.75,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P2","P2",8,0.16,0.16,0.68,3.75,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P3","P3",8,0.16,0.16,0.68,3.75,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P4","P4",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P5","P5",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P6","P6",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P7","P7",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P8","P8",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P9","P9",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P10","P10",8,0.16,0.16,0.68,7.5,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P11","P11",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P12","P12",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P13","P13",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P14","P14",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P15","P15",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P16","P16",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P17","P17",8,0.16,0.16,0.68,15,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P18","P18",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P19","P19",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P20","P20",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P21","P21",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P22","P22",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P23","P23",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
"CelSeq2_Mixture_Sample_P24","P24",8,0.16,0.16,0.68,30,"0.16_0.16_0.68"
